Date_extraction|Status|Name_of_data_flow|Type_of_request|value_of_the_parameter|Run_number|Area_Level1|Value_extracted1|Value_extracted2|Value_extracted3|Value_extracted4|EudraCT-number|Sponsor-protocol-number|Start-date|Sponsor-name|Full-tittle|Medical-condition|Disease-version|Disease-soc-term|Disease-classification-code|Disease-term|Disease-level|Population-age|Gender|Trial-protocol|Trial results

20170102_004904|0|Clinicaltrials|nc|takeda|1|Total number of trials|29422|4475|18612|282|nc|nc|nc|nc|nc|nc|nc|nc|nc|nc|nc|nc|nc|nc|nc|

20170102_004904|0|Clinicaltrials|nc|takeda|2|Total number of trials|nc|nc|nc|nc|2014-004507-73|TAK-390MR_205|2016-02-26|Takeda Development Centre Europe Ltd.|A Phase 2, Double Blind, Up to 40 Week, Multicenter Study to Assess the Safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Healing of Erosive Es...|Erosive Esophagitis in paediatric subjects aged 1 to 11 years|18.1|100000004856|10063657|Erosive esophagitis|LLT|Infants and toddlers, Under 18|Male, Female|IT (Temporarily Halted) PT (Temporarily Halted) BE (Ongoing) PL (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|3|Total number of trials|nc|nc|nc|nc|2015-000852-12|Vedolizumab-4003|2016-05-31|Takeda Development Centre Europe, Ltd.|A Randomized Double-Blind Phase 4 Study to Evaluate the Safety and Proportion of Subjects With Fistula Healing in 2 Dose Regimens of Entyvio (Vedolizumab IV) in the Treatment of Fistulizing Crohn’s...|Fistulizing Crohn’s Disease (CD)|18.1|100000004856|10075465|Fistulizing Crohn's disease|LLT|Adults, Elderly|Male, Female|BE (Ongoing) GB (Ongoing) NL (Ongoing) ES (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|4|Total number of trials|nc|nc|nc|nc|2006-002237-20|ATS K021|2006-08-21|Takeda Pharma GmbH|Pilot trial studying the Effects of Pioglitazone in Comparison to Placebo on Myocardial Function and Oxidative Stress in Patients with Type II Diabetes and Insulin Resistance undergoing elective PTCA|Type 2 diabetic patients treated with oral agents except PPAR gamma agonists and / or patients with insulin resistance measured by IRIS score > 50 with stable coronary artery disease and supposed e...| | | | | |Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|5|Total number of trials|nc|nc|nc|nc|2004-004463-30|ATS K015|2005-06-22|Takeda Pharma GmbH|Effects of Pioglitazone in Combination with Atorvastatin in Comparison to Atorvastatin treatment alone on Intima-Media Thickness in patients at Risk for Vascular Complications|Patients at risk for vascular complications (cardiovascular anamnesis, hypertension, hypercholesterolemia) and a carotid intima media thickness >= 0.8 mm at least at one side will be eligible for t...| | | | | |Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|6|Total number of trials|nc|nc|nc|nc|2015-003472-78|Vedolizumab-4004|2016-09-02|Takeda Development Centre Europe, Ltd.|A Randomized, Double-Blind, Placebo-Controlled Phase 4 Study to Evaluate the Efficacy and Safety of Entyvio (Vedolizumab IV) in the Treatment of Chronic Pouchitis|Chronic Pouchitis|19.0|10017947 - Gastrointestinal disorders|10036463|Pouchitis|PT|Adults, Elderly|Male, Female|DE (Ongoing) ES (Ongoing) NL (Ongoing) |(No results available)

20170102_004904|4|Clinicaltrials|nc|takeda|7|Total number of trials|nc|nc|nc|nc|2012-005732-28|LE-9999-401-BE|2013-06-14|Takeda Belgium|A multicentre, open-label switch study to investigate the necessity of dose adjustment after switching from L-Thyroxine Christiaens® to the new levothyroxine sodium test formulation in (near) total...|Patient that underwent a near total thyroidectomy and therefore are compelled to take levothyroxine hormone substition therapy.|16.0|100000004865|10043777|Thyroidectomy total|LLT|Adults|Male, Female|BE (Ongoing) |View results

20170102_004904|4|Clinicaltrials|nc|takeda|7|Total number of trials|nc|nc|nc|nc|2012-005732-28|LE-9999-401-BE|2013-06-14|Takeda Belgium|A multicentre, open-label switch study to investigate the necessity of dose adjustment after switching from L-Thyroxine Christiaens® to the new levothyroxine sodium test formulation in (near) total...|Patient that underwent a near total thyroidectomy and therefore are compelled to take levothyroxine hormone substition therapy.|16.0|10014698 - Endocrine disorders|10021114|Hypothyroidism|PT|Adults|Male, Female|BE (Ongoing) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|8|Total number of trials|nc|nc|nc|nc|2007-003060-22|DSE-866-45|2008-04-10|DAIICHI SANKYO EUROPE GmbH|A 24-WEEK MULTICENTRE, RANDOMISED, DOUBLE BLIND, CONTROLLED, PARALLEL GROUP NON-INFERIORITY STUDY TO ASSESS THE EFFICACY AND SAFETY OF OLMESARTAN MEDOXOMIL VERSUS CANDESARTAN CILEXETIL IN PATIENTS ...|Patients with symptomatic, clinically stable CHF with left ventricular systolic dysfunction [NYHA class II-IV and left ventricular ejection fraction (LVEF) < 40%] and elevated BNP levels (>400 pg/m...|9.1| |10008908|Chronic heart failure|LLT|Adults, Elderly|Male, Female|FR (Ongoing) NL (Prematurely Ended) DE (Prematurely Ended) CZ (Ongoing) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|9|Total number of trials|nc|nc|nc|nc|2014-000778-20|NOR-202|2014-07-04|Takeda Vaccines, Inc.|A Phase II, Randomized, Double-Blind, Dosage, Safety and Immunogenicity Trial of Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-Like Particle Vaccine combined with Aluminum Hydroxide adjuvant ...|Prevention of gastroenteritis caused by norovirus|18.0|10021881 - Infections and infestations|10068189|Gastroenteritis norovirus|PT|Infants and toddlers, Children, Under 18|Male, Female|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|10|Total number of trials|nc|nc|nc|nc|2013-004984-30|AD-4833/TOMM40_303|2015-03-04|Takeda Development Centre Europe Ltd|A Blinded Long-term Extension Study to Evaluate the Safety and Efficacy of Pioglitazone (AD-4833 Sustained Release 0.8 mg Daily) to Slow the Progression of Cognitive Decline in Subjects Who Have Co...|Mild cognitive impairment due to Alzheimer’s disease|18.0|100000004852|10009846|Cognitive impairment|LLT|Elderly|Male, Female|GB (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|11|Total number of trials|nc|nc|nc|nc|2012-002998-62|ROF-PSOR_104|2012-12-13|Takeda Pharma A/S|A Randomized, Single-Center, Observer-Blind, Vehicle- and Active Comparator-Controlled Phase 1b Study to Assess the Effect and Local Safety and Tolerability Of Roflumilast and BYK321084 – Phosphod...|Mild to moderate, chronical, stable Psoriasis vulgaris|15.1|10040785 - Skin and subcutaneous tissue disorders|10037153|Psoriasis|PT|Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|12|Total number of trials|nc|nc|nc|nc|2004-003962-14|BLO K022|2004-12-16|Takeda Pharma GmbH|Candesartan "added" Treatment for Optimisation of Heart Failure (HF) Therapy - Effects on BNP and other HF associated Parameters. An open, non-controlled and multicentre trial|Heart failure| | | | | |Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|13|Total number of trials|nc|nc|nc|nc|2006-001998-25|BLO K025|2006-09-29|Takeda Pharma GmbH|Double-blind, randomised trial to investigate the antihypertensive and metabolic effects of candesartan in insulin-resistant obese patients with a hypertension not adequately controlled by previous...|Insulin-resistant obese patients with a hypertension not adequately controlled by previous beta-blocker or calcium channel blocker|8.1| |10015488| |LLT|Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|14|Total number of trials|nc|nc|nc|nc|2006-002271-41|ATS K020 (D-PIO 112)|2006-10-25|Takeda Pharma GmbH|Effects of Pioglitazone in Combination with Glimepiride in Comparison to Glimepiride Monotherapy on Metabolic Control in Patients with Type 2 Diabetes mellitus|Patients with Type 2 Diabetes mellitus and HbA1c > 6,5%, but < 8,5% and/ or fasting plasma glucose > 7 mmol/l will be eligible for the study|8.1| |10063624|Type II diabetes mellitus inadequate control|LLT|Adults, Elderly|Male, Female|DE (Completed) |View results

20170102_004904|0|Clinicaltrials|nc|takeda|15|Total number of trials|nc|nc|nc|nc|2015-000939-33|MLN0002-3026|2015-11-11|Takeda Development Centre Europe, Ltd.|A Randomized, Double-Blind, Double-Dummy, Multicenter, Active-Controlled Study to Evaluate the Efficacy and Safety of Vedolizumab IV Compared to Adalimumab SC in Subjects With Ulcerative Colitis|Ulcerative Colitis|19.0|100000004856|10045365|Ulcerative colitis|LLT|Adults, Elderly|Male, Female|CZ (Ongoing) SK (Ongoing) NL (Ongoing) BG (Ongoing) GB (Ongoing) HU (Ongoing) BE (Ongoing) ES (Ongoing) LV (Ongoing) EE (Ongoing) LT (Ongoing) PL (Ongoing) DK (Ongoing) PT (Ongoing) HR (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|16|Total number of trials|nc|nc|nc|nc|2006-000171-15|IMT-MRI-Trial-2006|2007-01-17|University Hospital of Ulm|Randomized, placebo-controlled, double-blinded study evaluating the effects of Pioglitazone on intima-media-thickness (IMT) of the carotid arteries measured by MRI in non-diabetic patients with con...|Male or female non-diabetic patients at an age between 30 and 79 years (inclusive) with a proven vascular disease defined as arteriosclerosis confirmed by presence of CAD, PAD or carotid plaques.| | | | | |Adults, Elderly|Male, Female|DE (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|17|Total number of trials|nc|nc|nc|nc|2015-003521-34|CHUBX2015/14|2015-10-09|CHU de Bordeaux|Hypertrophic CARdiomyopathy symptom release by alpha stimulant MIDOdrine|Hypertrophic cardiomyopathy| | | | | |Adults, Elderly|Male, Female|FR (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|18|Total number of trials|nc|nc|nc|nc|2006-000694-30|01-05-TL-322OPI-001|2006-09-21|Takeda Europe Research & Development Centre Ltd.,|A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Determine the Efficacy and Safety of the Combination of SYR-322 (SYR110322) and Pioglitazone HCl (ACTOS) in Subjects with Type ...|Type II Diabetes Mellitus| | | | | |Adults, Elderly|Male, Female|EE (Completed) LV (Completed) |View results

